1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
plate	[เพลท] (n) แผ่นธรณีภาค,แผ่นเปลือกโลก
platelet	(n) เกล็ดเลือด
platonic	(adj) สัมพันธ์ฉันท์เพื่อน เช่น a wholly platonic friendship 
play hooky	(jargon) |Amer.| โดดเรียน, ไม่ไปโรงเรียน, Related: S. play truant (Brit.), 
playoff	(n) การแข่งขันรอบตัดเชือก, กีฬารอบชิงชนะเลิศ เช่น Call us if you are looking for basketball tickets to any NBA, NCAA or WNBA basketball game. We handle basketball tickets to all regular season and playoff games., Related: S.play-off 
plaza	(n) ด่าน เช่น toll plaza ด่านเก็บค่าผ่านทาง 
plead	(vt) ให้การ เช่น A new possibility for consumers to plead before court has been implemented into Swedish legislation.
plowing	(n.) การไถพรวน
plumbum	(n uniq) ตะกั่ว, Related: S. lead, 
plumeria	(n) ต้นหรือดอกลีลาวดี , ดอกลั่นทม
policy maker	[โพ-ละสิ เมคเคอร์] (phrase) ผู้วางนโยบายของรัฐหรือองค์กร
policymaker	(n) ผู้กำหนดนโยบาย, สิ่งที่กำหนดนโยบาย
political deadlock	(n) ภาวะชะงักงันทางการเมือง
popular	(adj) เป็นที่นิยม, ได้รับความสนใจ
populism	(n) ประชานิยม เช่น In the 1970s and 1980s, historians of Populism focused most of their attention on the grassroots movement that gave rise to the party. , Related: R. populist 
pork	(vt colloq) อึ้บ, แอ้ม (เป็นภาษาพูดแปลว่ามีเพศสัมพันธ์ มาจากคำว่า penetrate) เช่น I might go pork my girlfriend tonight., Related: S. To have sexual intercourse, To have sex with, 
pork-barrel	(n) การแบ่งสรรปันส่วน(ผลประโยชน์)ในรัฐบาลด้วยเหตุผลทางการเมือง เช่น The pork barrel was to become as central to our national political culture. 
post exchange	(n) ร้านค้าสวัสดิการของค่ายทหาร ย่อด้วย PX  , Related: S.base exchange (BX) 
poster boy	(n phrase) เด็กชายที่เป็นแบบให้ถ่ายรูปไปทำเป็นโปสเตอร์
posthumously	(adv) หลังจากที่ตายแล้ว, หลังจากการตาย
postproduction	ขั้นตอนหลังการผลิตงาน ถ้าเป็นการถ่ายทำภาพยนตร์จะหมายถึง การตัดต่อ การลงเสียง การตกแต่งแสงสีในภาพยนตร์ด้วยคอมพิวเตอร์ ถ้าเป็นการผลิตงานด้านอื่นๆ ก็จะหมายถึงการเก็บชิ้นงานนั้นๆ ให้เรียบร้อยก่อนส่งงาน
potash preserved egg	(n) ไข่เยี่ยวม้า
precedent	(n) คำพิพากษาในคดีก่อน ซึ่งนำมาเป็นมาตรฐานในการตัดสินคดีต่อๆไป
predictable	(adj) ที่พอจะทำนายได้,พยากรณ์ได้
premolar	(n) ฟันกรามน้อย, ฟันซี่ที่อยู่ระหว่างฟันเขี้ยวกับฟันกราม
preproduction	ขั้นตอนก่อนลงมือผลิตชิ้นงานจริง เช่น การหาข้อมูล การประชุม การไปดูสถานที่ (ถ้าต้องใช้สถานที่ในการจัดงานหรือผลิตงาน) การทำตัวอย่างชิ้นงาน (เช่น การสร้างโมเดลของสถาปนิกก่อนที่จะลงมือก่อสร้างจริง) 
preservative	(n) วัตถุกันเสีย, สารกันเสีย
primary	(adj) ปฐมภูมิ
primary producer	(n) ผู้ผลิตขั้นปฐมภูมิของห่วงโซ่อาหารในธรรมชาติ
primogeniture	(n) สถานะการเป็นลูกคนโต, สิทธิที่จะได้รับมรดกจากพ่อแม่ของลูกคนโต
prison camp	(n) ค่ายเชลย, ค่ายกักกัน เช่น America opened its prison camp at Guantanamo Bay to house “the worst of the worst”., Related: S.concentration camp 
